date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:24	79090/79090	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:55%20GMT	https://conference.awwwards.com/talks/designing-an-agency-culture-through-music	conference.awwwards.com/talks/designing-an-agency-culture-through-music.html	(from https://conference.awwwards.com/speakers)
14:02:25	77821/77821	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:56%20GMT	https://conference.awwwards.com/talks/design-never-wins	conference.awwwards.com/talks/design-never-wins.html	(from https://conference.awwwards.com/speakers)
14:02:26	78007/78007	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:57%20GMT	https://conference.awwwards.com/talks/authenticity-on-the-web	conference.awwwards.com/talks/authenticity-on-the-web.html	(from https://conference.awwwards.com/speakers)
14:02:27	76759/76759	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:58%20GMT	https://conference.awwwards.com/talks/tbc-6	conference.awwwards.com/talks/tbc-6.html	(from https://conference.awwwards.com/speakers)
14:02:28	78190/78190	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:59%20GMT	https://conference.awwwards.com/talks/making-friends-with-failure	conference.awwwards.com/talks/making-friends-with-failure.html	(from https://conference.awwwards.com/speakers)
14:02:29	78733/78733	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:40:00%20GMT	https://conference.awwwards.com/talks/tailwind-aware-props	conference.awwwards.com/talks/tailwind-aware-props.html	(from https://conference.awwwards.com/speakers)
14:02:30	78343/78343	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:40:01%20GMT	https://conference.awwwards.com/talks/conversation-design-across-realities	conference.awwwards.com/talks/conversation-design-across-realities.html	(from https://conference.awwwards.com/speakers)
14:02:31	77787/77787	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:40:02%20GMT	https://conference.awwwards.com/talks/the-internet-is-constantly-changing-is-it-though	conference.awwwards.com/talks/the-internet-is-constantly-changing-is-it-though.html	(from https://conference.awwwards.com/speakers)
14:02:32	81877/81877	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:40:03%20GMT	https://conference.awwwards.com/talks/ai/ux-the-role-of-ux-designers-in-humanizing-the-future	conference.awwwards.com/talks/ai/ux-the-role-of-ux-designers-in-humanizing-the-future.html	(from https://conference.awwwards.com/speakers)
14:02:33	77941/77941	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:40:04%20GMT	https://conference.awwwards.com/talks/designing-for-other-artists	conference.awwwards.com/talks/designing-for-other-artists.html	(from https://conference.awwwards.com/speakers)
14:02:34	79016/79016	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:40:05%20GMT	https://conference.awwwards.com/talks/from-yawn-to-yay-building-play-into-collaboration	conference.awwwards.com/talks/from-yawn-to-yay-building-play-into-collaboration.html	(from https://conference.awwwards.com/speakers)
14:02:35	78515/78515	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:40:06%20GMT	https://conference.awwwards.com/talks/why-the-hell-would-anyone-ever-use-webflow	conference.awwwards.com/talks/why-the-hell-would-anyone-ever-use-webflow.html	(from https://conference.awwwards.com/speakers)
14:02:36	78365/78365	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:40:07%20GMT	https://conference.awwwards.com/workshops/creating-immersive-web-experiences-through-exciting-mini-games	conference.awwwards.com/workshops/creating-immersive-web-experiences-through-exciting-mini-games.html	(from https://conference.awwwards.com/workshops)
14:02:37	82014/82014	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:40:08%20GMT	https://conference.awwwards.com/schedule?day=2023-05-03	conference.awwwards.com/schedule4660.html	(from https://conference.awwwards.com/schedule)
14:02:38	96779/96779	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:40:09%20GMT	https://conference.awwwards.com/schedule?day=2023-05-04	conference.awwwards.com/schedule6e18.html	(from https://conference.awwwards.com/schedule)
14:02:39	91645/91645	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:40:10%20GMT	https://conference.awwwards.com/schedule?day=2023-05-05	conference.awwwards.com/schedule9d29.html	(from https://conference.awwwards.com/schedule)
14:02:39	53999/53999	---M--	200	added ('OK')	image/jpeg	etag:%2263c845c7-d2ef%22	https://conference.awwwards.com/uploads/speakers/speaker_vitaly-friedman-sepia-dark-960x960.jpg	conference.awwwards.com/uploads/speakers/speaker_vitaly-friedman-sepia-dark-960x960.jpg	(from https://conference.awwwards.com/talks/rethinking-authentication-ux)
14:02:40	77582/77582	---M--	200	added ('OK')	image/jpeg	etag:%2263c845c0-12f0e%22	https://conference.awwwards.com/uploads/speakers/speaker-pablo-stanley-sepia-dark-960x960.jpg	conference.awwwards.com/uploads/speakers/speaker-pablo-stanley-sepia-dark-960x960.jpg	(from https://conference.awwwards.com/talks/the-successful-imposter)
14:02:41	96944/96944	---M--	200	added ('OK')	image/jpeg	etag:%2263c845c8-17ab0%22	https://conference.awwwards.com/uploads/speakers/speaker-victor-costa-sepia-dark-960x960.jpg	conference.awwwards.com/uploads/speakers/speaker-victor-costa-sepia-dark-960x960.jpg	(from https://conference.awwwards.com/talks/working-vs-producing-the-difference-that-changed-my-life)
14:02:43	154961/154961	---M--	200	added ('OK')	image/jpeg	etag:%2263c845c1-25d51%22	https://conference.awwwards.com/uploads/speakers/speaker-isabel-moranta-sepia-dark-960x960.jpg	conference.awwwards.com/uploads/speakers/speaker-isabel-moranta-sepia-dark-960x960.jpg	(from https://conference.awwwards.com/talks/eyes-wide-open)
14:02:43	83807/83807	---M--	200	added ('OK')	image/jpeg	etag:%2263c845c7-1475f%22	https://conference.awwwards.com/uploads/speakers/speaker-femke-sepia-dark-960x960.jpg	conference.awwwards.com/uploads/speakers/speaker-femke-sepia-dark-960x960.jpg	(from https://conference.awwwards.com/talks/the-influential-product-designer)
